pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,,19.4,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4.74,V (Johnson),4.372,4742,2.7,19,2014-05-14,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,,14.74,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,5.016,V (Johnson),4.5,4213,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,,4.8,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,5.227,V (Johnson),4.872,4813,2.2,11,2014-05-14,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,,4.66,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,6.61,V (Johnson),6.379,5338,0.9,0.93,2018-09-06,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,,1.78,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.25,V (Johnson),6.057,5750,1.08,1.13,2018-09-06,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,,10.3,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,5.506,V (Johnson),5.244,4979,2.3,8.5,2014-05-14,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,330,,,8,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,,,12.057,4060,0.85,,2015-04-01,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,,0.91,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,5.58,V (Johnson),5.305,4893,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,,1.99,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,2014-05-14,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,,0.86,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,2014-05-14,Lick Observatory
