,ORF,NAME,alpha 0,alpha 7,alpha 14,alpha 21,alpha 28,alpha 35,alpha 42,alpha 49,alpha 56,alpha 63,alpha 70,alpha 77,alpha 84,alpha 91,alpha 98,alpha 105,alpha 112,alpha 119,Elu 0,Elu 30,Elu 60,Elu 90,Elu 120,Elu 150,Elu 180,Elu 210,Elu 240,Elu 270,Elu 300,Elu 330,Elu 360,Elu 390,cdc15 10,cdc15 30,cdc15 50,cdc15 70,cdc15 90,cdc15 110,cdc15 130,cdc15 150,cdc15 170,cdc15 190,cdc15 210,cdc15 230,cdc15 250,cdc15 270,cdc15 290,spo 0,spo 2,spo 5,spo 7,spo 9,spo 11,spo5 2,spo5 7,spo5 11,spo- early,spo- mid,heat 0,heat 10,heat 20,heat 40,heat 80,heat 160,dtt 15,dtt 30,dtt 60,dtt 120,cold 0,cold 20,cold 40,cold 160,diau a,diau b,diau c,diau d,diau e,diau f,diau g,km
541,YDR329C,PEX3   PEROXISOMAL PROTEIN TARG INTEGRAL MEMBRANE PROTEIN,-0.22,-0.15,-0.34,-0.1,,-0.04,-0.03,-0.22,-0.25,-0.04,-0.4,-0.22,-0.12,-0.34,-0.4,-0.22,0.23,-0.3,0.72,0.23,-0.23,-0.38,-0.64,-0.43,-0.43,-0.25,,-0.22,-0.23,0.1,-0.15,-0.32,-0.3,0.12,0.08,-0.03,-0.03,0.01,0.25,0.58,0.12,0.06,-0.09,-0.64,0.42,,0.24,-0.32,-0.23,-0.89,-0.6,-0.17,0.23,0.56,0.15,0.91,0.07,-0.2,-0.03,0.53,0.1,0.19,-0.27,0.07,-0.12,-0.03,,-0.4,-0.25,0.11,-0.27,-0.2,,0.06,0.32,,0.2,1.58,1.3,6
9,YAL021C,CCR4   CATABOLITE REPRESSION    COMPONENT OF CCR4 TRANSCRIPTIONAL COMPLEX,-0.22,-0.29,-0.27,-0.07,-0.01,-0.14,-0.03,0.28,-0.29,0.01,-0.17,0.19,-0.03,-0.06,0.18,-0.09,-0.32,0.04,-0.01,-0.07,-0.04,0.25,0.03,-0.06,0.4,-0.07,0.18,0.32,-0.36,0.07,-0.06,-0.17,-0.34,0.18,0.23,-0.09,-0.17,-0.12,-0.04,-0.42,-0.03,-0.2,-0.47,0.11,-0.38,-0.2,-0.51,,,-0.1,-0.18,-0.07,-0.15,-0.09,0.12,-0.1,-0.4,-0.17,0.04,0.25,0.33,1.17,0.23,0.82,-0.58,-0.54,-0.84,-0.27,0.46,0.36,0.96,0.9,-0.06,-0.15,-0.2,-0.32,-0.45,-0.34,-0.81,0
1419,YKL110C,KTI12  KILLER TOXIN RESISTANCE  UNKNOWN,-0.2,-0.89,-0.84,-0.62,-0.54,-0.43,-0.45,-0.58,-0.18,0.01,-0.56,-0.34,-0.27,-0.86,-0.45,-0.42,-0.58,-0.29,-1.06,-0.06,0.24,-0.06,-0.04,-0.42,-0.45,-0.15,-0.29,-0.15,-0.12,-0.34,-0.09,0.21,0.59,0.34,0.06,-0.14,-0.15,-0.01,-0.04,-0.15,-0.03,0.08,0.11,-0.27,0.18,-0.23,0.03,-0.2,-0.81,-0.45,-0.89,-0.43,-0.67,-0.58,-0.79,-0.76,-1.03,-0.3,-0.4,-1.0,-0.54,-0.56,-0.6,-0.32,,-0.07,-0.56,-0.54,-0.36,0.61,-0.86,-0.42,-0.2,,0.12,-0.43,-0.56,0.42,0.21,9
559,YDR377W,ATP17  ATP SYNTHESIS       ATP SYNTHASE SUBUNIT F,-0.29,1.29,0.06,0.06,-0.15,-0.34,-0.45,-0.58,-0.18,-0.69,-0.22,-0.49,0.49,-0.3,-0.3,0.29,-0.38,0.03,-0.23,-0.56,-0.01,0.14,-0.42,0.03,-0.74,0.03,-0.04,0.12,-0.29,0.11,0.25,-0.2,-0.17,-0.22,0.19,0.26,0.39,0.37,0.42,0.41,0.26,0.06,0.32,0.26,0.32,0.2,0.34,-0.29,-0.1,-0.58,-0.94,-1.18,-0.89,0.59,-0.36,-0.51,-0.54,-1.06,-0.32,0.14,-0.04,-0.51,-0.45,-0.4,-0.1,-0.4,-0.42,-0.49,-0.12,-0.04,-0.81,-1.25,0.11,0.2,0.36,0.14,0.65,0.97,1.16,6
1215,YIR037W,HYR1   OXIDATIVE STRESS RESPONS GLUTATHIONE PEROXIDASE,0.25,0.7,0.57,0.66,0.1,0.59,-0.01,-0.09,-0.2,-0.12,-0.3,-0.43,-0.18,-0.45,-0.2,-0.4,-0.2,-0.36,1.04,0.78,0.57,0.03,0.06,-0.27,-0.36,0.08,0.04,0.07,0.07,0.29,0.57,0.7,1.02,0.74,0.63,-0.06,0.48,0.21,0.44,0.75,0.51,0.65,0.62,0.18,0.75,0.75,1.2,,0.1,-0.43,-0.42,0.29,0.96,0.59,-0.07,0.76,-0.47,-0.6,0.1,0.71,0.81,0.58,-0.04,0.28,0.36,-0.2,0.9,0.74,-0.18,0.21,-0.23,-0.07,0.14,-0.06,0.3,0.32,0.12,0.96,0.55,6
2356,YPL211W,NIP7   RRNA PROCESSING     UNKNOWN,0.06,-0.81,-0.62,-0.51,0.03,-0.03,0.11,-0.07,0.31,-0.29,0.25,-0.3,-0.03,-0.18,0.07,-0.17,-0.01,-0.22,-1.22,-0.86,-0.43,0.18,0.65,0.28,-0.14,-0.34,-0.64,-0.36,-0.38,-0.84,-0.92,-0.6,0.49,0.72,0.63,-0.01,0.03,0.12,-0.04,0.07,-0.32,-0.14,-0.36,0.49,-0.38,-0.49,-0.32,-0.1,-0.84,-0.36,-1.0,-0.58,-0.42,-0.92,-0.69,-0.17,-1.89,-1.25,-0.49,-2.56,-1.89,-1.79,-1.03,-1.12,-0.01,-0.64,-1.43,-1.25,-0.2,0.01,-0.42,-0.54,0.18,0.07,0.12,-0.54,-0.62,-1.32,-1.64,8
864,YGL190C,CDC55  CELL CYCLE       PROTEIN PHOSPHATASE,-0.01,,-0.12,-0.09,-0.12,-0.01,0.01,-0.04,-0.2,-0.07,-0.23,-0.06,0.06,-0.15,-0.29,-0.07,0.23,-0.22,0.93,-0.06,0.08,0.12,0.06,0.06,-0.23,0.12,-0.03,-0.3,0.08,-0.07,-0.04,-0.23,0.23,-0.12,-0.27,0.03,0.04,-0.04,-0.03,-0.34,-0.03,0.06,-0.03,-0.22,0.23,0.01,-0.12,-0.38,-0.54,-0.69,-1.03,-1.25,-1.03,0.32,-0.06,-0.03,-0.27,0.01,-0.14,0.55,0.14,-0.22,-0.07,0.12,-0.12,-0.51,-0.25,-0.74,-0.03,0.38,0.8,0.77,-0.15,-0.12,-0.09,-0.1,-0.42,1.01,0.24,0
303,YDL006W,PTC1   TRNA SPLICING       PROTEIN PHOSPHATASE,-0.32,0.33,-0.22,0.03,-0.34,0.26,-0.04,0.07,-0.23,0.26,0.19,0.1,-0.2,-0.03,-0.34,0.15,0.03,-0.03,0.57,-0.03,0.4,-0.86,0.12,0.03,0.11,-0.23,-0.18,-0.23,,-0.15,-0.27,-0.15,-0.15,0.2,0.07,-0.03,-0.43,-0.47,-0.36,-0.03,0.34,0.04,-0.6,0.34,-0.25,-0.32,-0.25,,0.24,,0.76,0.82,0.37,-0.23,0.37,-0.25,0.46,1.4,-0.3,-0.3,-0.3,-0.92,-0.42,-0.06,0.37,0.03,-0.09,-0.14,-0.27,-0.17,-0.54,-0.06,-0.23,-0.43,0.14,0.11,-0.43,0.49,-0.45,3
97,YBR008C,"FLR1   FLUCONAZOLE RESISTANCE   TRANSPORTER, MAJOR FACILITATOR SUPERFAMILY",-0.22,-0.43,-0.34,0.3,0.16,-0.17,0.04,0.08,-0.38,-0.07,-1.06,0.03,-0.1,-0.07,0.2,-0.38,-0.14,-0.15,-0.51,-0.67,-0.43,-0.62,-0.51,-0.32,-0.64,-0.4,-0.04,-0.07,-0.47,-0.22,-0.6,-0.34,-0.94,-0.74,-0.04,0.03,-0.29,-0.97,-0.92,-0.23,-0.07,0.03,-0.43,-1.06,-0.84,-0.81,-0.54,-0.34,-0.29,-1.12,-0.71,-0.84,-1.25,0.1,-0.34,-0.4,0.53,-0.29,-0.15,-0.07,-0.12,0.18,0.64,0.14,-0.34,-0.49,-0.3,-0.32,0.06,0.43,0.07,0.3,-0.25,-0.14,0.55,-0.29,-0.32,0.37,-0.04,0
1947,YNL167C,SKO1   TRANSCRIPTION       CREB-LIKE TRANSCRIPTIONAL REPRESSOR,-0.36,-0.49,-0.18,-0.17,-0.06,-0.29,-0.17,-0.34,-0.36,-0.22,-0.49,-0.32,-0.1,-0.45,-0.2,-0.42,-0.03,-0.34,0.14,-0.79,-0.64,-0.64,-0.3,-0.4,-0.1,-0.23,0.03,,-0.3,-0.14,0.16,-0.32,-0.15,-0.25,-0.01,0.08,-0.09,0.04,-0.34,-0.12,-0.1,-0.03,-0.23,-0.3,-0.18,-0.6,-0.47,-0.45,-0.86,-0.69,-1.12,-1.6,-1.4,-0.4,-0.76,-1.36,-0.3,-0.01,-0.3,0.41,0.19,-0.17,-0.18,-0.94,-0.17,-0.32,-0.51,-0.71,-0.32,0.37,-0.29,1.03,-0.2,-0.43,-0.23,-0.25,-0.29,0.14,-0.71,0
