GID,symbol,name,length,phenotype,function
YOL030W,GAS5,Glycophospholipid-Anchored Surface protein,1455,,
YER177W,BMH1,Brain Modulosignalin Homolog,804,"Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements, lengthened chronological lifespan, decreased sensitivity to desiccation and increased innate thermotolerance; null mutant is sensitive to hyperosmotic stress and resistant to oxidative stress; overexpression leads to slow growth
","Phosphoserine- and DNA replication origin-binding protein involved in many signaling pathways and processes including the DNA damage and spindle position checkpoints, signal transduction during filamentous growth, cell wall chitin biosynthesis, and aggresome assembly; localizes to the nucleus, cytoplasm, and cytoplasmic stress granule"
YDR099W,BMH2,Brain Modulosignalin Homolog,822,"Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements and lengthened chronological lifespan; null mutant is sensitive to selenite and resistant to selenomethionine; overexpression leads to slow growth and actin cytoskeleton abnormalities
","Phosphoserine- and DNA replication origin-binding protein involved in Ras protein signal transduction and signal transduction during filamentous growth; involved in many processes including DNA replication initiation, DNA damage checkpoint, negative regulation of apoptosis, and cell wall chitin biosynthesis; localizes to the nucleus and cytoplasm"
YPR082C,DIB1,S. pombe DIm1+ in Budding yeast,432,"Essential gene; conditional or reduction-of-function mutants show elevated chromosome instability, abnormal mitochondrial morphology and increased benomyl sensitivity
",Subunit of the U4/U6 x U5 tri-small nuclear RNP (snRNP) complex involved in messenger RNA (mRNA) splicing via spliceosome; localizes to U5 snRNP
YIR022W,SEC11,SECretory,504,,
YDL052C,SLC1,SphingoLipid Compensation,912,,
YHR063C,PAN5,PANtothenate biosynthesis,1140,,
YHR044C,DOG1,DeOxyGlucose,741,,
YHR043C,DOG2,DeOxyGlucose,741,,
YBR026C,ETR1,2-Enoyl Thioester Reductase,1143,,
YML110C,COQ5,COenzyme Q,924,"Non-essential gene; null mutant fails to respire and exhibits reduced chronological lifespan and sensitivity to linoleic acid; in large-scale studies, the null mutant shows reduced competitive fitness, sensitivity to desiccation and heat, reduced biofilm formation, and altered resistance to various chemicals
","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase, converts 2-hexaprenyl-6-methoxy-1,4-benzoquinone to 2-hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone, the fifth step in ubiquinone (Coenzyme Q) biosynthesis; localized to mitochondrial matrix"
YEL071W,DLD3,D-Lactate Dehydrogenase,1491,"Non-essential gene; null mutant shows decreased levels of lactate, fumarate and malate, but increased levels of 2-hydroxyglutarate, 2-oxoglutarate and succinate; in systematic studies mutants are sensitive to hydrogen peroxide and show reduced growth rate",2-hydroxyglutarate transhydrogenase that converts D-2-hydroxyglutarate to alpha-ketoglutarate with concomitant reduction of pyruvate to D-lactate; minor D-lactate dehydrogenase activity; overall contributes to lactate biosynthesis; localizes to the cytoplasm
YOL125W,TRM13,TRna Methyltransferase,1431,,
YDL112W,TRM3,Transfer RNA Methyltransferase,4311,,
